method	path	operation_id	tags	openapi_line
DELETE	/v1/dns/acme-challenges/{challenge_id}	deleteDNSACMEChallenge	[DNS]	2195
GET	/v1/dns/zones	listHostedDNSZones	[DNS]	2218
POST	/v1/dns/zones	createHostedDNSZone	[DNS]	2234
GET	/v1/dns/zones/{zone}	getHostedDNSZone	[DNS]	2257
DELETE	/v1/dns/zones/{zone}	deleteHostedDNSZone	[DNS]	2279
GET	/v1/dns/zones/{zone}/preflight	hostedDNSZonePreflight	[DNS]	2302
GET	/v1/dns/zones/{zone}/records	listHostedDNSRecords	[DNS]	2333
POST	/v1/dns/zones/{zone}/records	createHostedDNSRecord	[DNS]	2355
PATCH	/v1/dns/zones/{zone}/records/{record_id}	patchHostedDNSRecord	[DNS]	2384
DELETE	/v1/dns/zones/{zone}/records/{record_id}	deleteHostedDNSRecord	[DNS]	2417
GET	/v1/dns/nodes/{dns_node_id}	getDNSNode	[DNS]	2445
POST	/v1/dns/heartbeat	dnsHeartbeat	[DNS]	2468
GET	/v1/dns/delegation/preflight	dnsDelegationPreflight	[DNS]	2491
GET	/v1/edge/domains/{hostname}/tls-bundle	getEdgeTLSCertificateBundle	[Edge]	2534
PUT	/v1/edge/domains/{hostname}/tls-bundle	putEdgeTLSCertificateBundle	[Edge]	2552
POST	/v1/edge/domains/tls-report	edgeDomainTLSReport	[Edge]	2577
GET	/v1/tenants	listTenants	[Tenants]	2600
POST	/v1/tenants	createTenant	[Tenants]	2616
DELETE	/v1/tenants/{id}	deleteTenant	[Tenants]	2639
GET	/v1/projects	listProjects	[Projects]	2663
POST	/v1/projects	createProject	[Projects]	2681
GET	/v1/projects/image-usage	listProjectImageUsage	[Projects]	2704
GET	/v1/console/gallery	getConsoleGallery	[Console]	2721
GET	/v1/console/gallery/stream	streamConsoleGallery	[Console]	2745
GET	/v1/console/projects/{id}	getConsoleProject	[Console]	2769
PATCH	/v1/projects/{id}	patchProject	[Projects]	2794
DELETE	/v1/projects/{id}	deleteProject	[Projects]	2818
GET	/v1/projects/{id}/routes	getProjectRoutes	[Projects]	2849
PUT	/v1/projects/{id}/routes	putProjectRoutes	[Projects]	2867
DELETE	/v1/projects/{id}/routes	deleteProjectRoutes	[Projects]	2891
POST	/v1/projects/{id}/split-plan	planProjectSplit	[Projects]	2910
POST	/v1/projects/{id}/split	splitProject	[Projects]	2935
GET	/v1/projects/{id}/runtime-reservations	listProjectRuntimeReservations	[Projects]	2960
POST	/v1/projects/{id}/runtime-reservations	reserveProjectRuntime	[Projects]	2978
DELETE	/v1/projects/{id}/runtime-reservations/{runtime_id}	deleteProjectRuntimeReservation	[Projects]	3003
GET	/v1/billing	getBilling	[Billing]	3023
PATCH	/v1/billing	updateBilling	[Billing]	3047
PATCH	/v1/billing/balance	setBillingBalance	[Billing]	3070
POST	/v1/billing/top-ups	topUpBilling	[Billing]	3093
GET	/v1/api-keys	listAPIKeys	[API Keys]	3116
POST	/v1/api-keys	createAPIKey	[API Keys]	3132
PATCH	/v1/api-keys/{id}	patchAPIKey	[API Keys]	3155
DELETE	/v1/api-keys/{id}	deleteAPIKey	[API Keys]	3179
POST	/v1/api-keys/{id}/rotate	rotateAPIKey	[API Keys]	3198
POST	/v1/api-keys/{id}/disable	disableAPIKey	[API Keys]	3223
POST	/v1/api-keys/{id}/enable	enableAPIKey	[API Keys]	3242
GET	/v1/ssh/keys	listSSHKeys	[SSH]	3261
POST	/v1/ssh/keys	createSSHKey	[SSH]	3277
DELETE	/v1/ssh/keys/{id}	deleteSSHKey	[SSH]	3300
GET	/v1/node-keys	listNodeKeys	[Node Keys]	3319
POST	/v1/node-keys	createNodeKey	[Node Keys]	3335
GET	/v1/node-keys/{id}/usages	getNodeKeyUsages	[Node Keys]	3358
POST	/v1/node-keys/{id}/revoke	revokeNodeKey	[Node Keys]	3382
GET	/v1/cluster/nodes	listClusterNodes	[Cluster]	3401
GET	/v1/cluster/node-policies	listClusterNodePolicies	[Cluster]	3425
GET	/v1/cluster/node-policies/status	getClusterNodePolicyStatus	[Cluster]	3442
GET	/v1/cluster/node-policies/{name}	getClusterNodePolicy	[Cluster]	3459
GET	/v1/cluster/nodes/{name}/diagnosis	getClusterNodeDiagnosis	[Cluster]	3482
PATCH	/v1/cluster/nodes/{name}/policy	setClusterNodePolicy	[Cluster]	3505
GET	/v1/cluster/control-plane	getControlPlaneStatus	[Cluster]	3534
GET	/v1/discovery/bundle	getDiscoveryBundle	[Cluster]	3551
GET	/v1/cluster/pods	listClusterPods	[Cluster]	3575
GET	/v1/cluster/events	listClusterEvents	[Cluster]	3597
GET	/v1/cluster/logs	getClusterLogs	[Cluster]	3621
